"","call_detail","call_group","call_source","civil_age","civil_age_f","civil_drug","civil_etoh","civil_id","civil_instance","civil_mental","civil_race","civil_sex","civil_transient","force1","force2","force3","force4","force5","force6","force7","force8","force1_any","force2_any","force3_any","force4_any","force5_any","force6_any","force7_any","force8_any","force_officer_sum","incid_force_lev","incid_force_calc","incid_day","incid_disp","incid_id","incid_month","incid_sixhour","incid_year","officer_id","officer_precinct","officer_precinct_collapsed","officer_tenure","officer_tenure_f","resist1","resist2","resist3","resist4","resist5","resist6","resist7","resist8","threat_biohaz","threat_blunt","threat_gun","threat_gun_implied","threat_gun_replica","threat_knife","threat_other","threat_unused_weapon","threat_unarmed","threat_sum","recordcount_1","recordcount_2"
"1018","SUSPICIOUS - PRIORITY","Suspicious","Dispatched",23.885730594,"15-24","1","0",387912,387912994526127,"0","Black","Male","Yes","Resisted HC","Control Against Resistance",NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,2,"IV","1","Thursday","Arrest-Misdemeanor",994526127,"February","0600-1159",2018,1064051,"North Precinct","North Precinct",1.95696347,"[0-2]","Active","Active",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"1019","DISTURBANCE - PRIORITY","Disturbance","Dispatched",23.516666667,"15-24","0","0",3732446,7125291053732446,"0","Black","Male","Yes","Control Against Resistance","Takedown (IV)","Resisted HC",NA,NA,NA,NA,NA,1,1,1,0,0,0,0,0,3,"III","2","Saturday","Arrest-Misdemeanor",712529105,"October","1200-1759",2018,753121,"Central Precinct","Central Precinct",1.961111111,"[0-2]","Active","Active","Active",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"1020","DISTURBANCE - PRIORITY","Disturbance","Dispatched",15.303926941,"15-24","1","1",3884195,3884195705525824,"0","Asian","Male","No","Control Against Resistance",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,"III","2","Saturday","Arrest-Misdemeanor",705525824,"January","1800-2359",2018,836731,"East Precinct","East Precinct",1.964200913,"[0-2]","Active",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"1021","VANDALISM - PRIORITY","Vandalism","Dispatched",30.769444444,"25-34","1","0",3567455,6085291233569455,"0","White","Male","Yes","Control Against Resistance",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,"IV","1","Monday","Release to Medical",608529123,"October","0600-1159",2018,753121,"Central Precinct","Central Precinct",1.966666667,"[0-2]","Active",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"1022","SUSPICIOUS SUBJ, VEH, OR CIRCUMSTANCE","Suspicious","Dispatched",28.402697869,"25-34","0","1",607339,666526984607339,"0","White","Male","Yes","Takedown (IV)",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,"IV","1","Friday","Arrest-Misdemeanor",666526984,"April","1800-2359",2018,283071,"Central Precinct","Central Precinct",1.980780061,"[0-2]","Active",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"1023","ACCIDENT - HIT AND RUN - COLD","Collision","Dispatched",30.350517504,"25-34","0","1",3712798,3712798979519407,"0","White","Female","No","Control Against Resistance",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,"IV","1","Saturday","Arrest-Misdemeanor",979519407,"November",NA,2017,847031,"North Precinct","North Precinct",1.983394216,"[0-2]","Active",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"1024","DISTURBANCE - PRIORITY","Disturbance","Dispatched",35.013769026,"35-49","0","0",410830,906526996410830,"0","White","Male","Yes","Resisted HC",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,"III","2","Sunday","Arrest-Misdemeanor",906526996,"April",NA,2018,283071,"Central Precinct","Central Precinct",1.98363204,"[0-2]","Active",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"1025","ECIT","Behavioral Health","Dispatched",11,"0-14","0","0",4080350,957619577,"0","Hispanic","Male","No","Control Against Resistance",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,"II","3","Monday","Release to Medical",953539227,"October","1200-1759",2019,574201,"East Precinct","East Precinct",2,"[0-2]","Aggressive",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"1026","MISSING - PERSON ENDANGERED","Missing Person","Dispatched",12,"0-14","0","0",3829904,559376907,"1","White","Female","No","Resisted HC","Takedown (IV)","Resisted HC",NA,NA,NA,NA,NA,1,1,1,0,0,0,0,0,3,"II","3","Thursday","Release to Medical",555547003,"April","1800-2359",2020,852231,"East Precinct","East Precinct",2,"[0-2]","Active","Active","Active",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"1027","MISSING - PERSON ENDANGERED","Missing Person","Dispatched",12,"0-14","0","0",3829904,559376907,"1","White","Female","No","Resisted HC","Takedown (IV)","Resisted HC",NA,NA,NA,NA,NA,1,1,1,0,0,0,0,0,3,"II","3","Thursday","Release to Medical",555547003,"April","1800-2359",2020,911231,"East Precinct","East Precinct",2,"[0-2]","Active","Active","Active",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"1028","SUSPICIOUS SUBJ, VEH, OR CIRCUMSTANCE","Suspicious","Dispatched",13,"0-14","0","0",3727101,924264578,"0","Asian","Female","No","Control Against Resistance","Resisted HC",NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,2,"II","3","Friday","Arrest-Warrant",920537477,"May","1200-1759",2019,673111,"Central Precinct","Central Precinct",2,"[0-2]","Active","Active",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"1029","DISTURBANCE - PRIORITY","Disturbance","Self-Initiated",15,"15-24","0","0",1833369,276370859,"0","White","Male","No","Control Against Resistance","Control Against Resistance",NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,2,"III","2","Saturday","Release to Medical",274537490,"June","1200-1759",2019,216161,"East Precinct","East Precinct",2,"[0-2]","Active","Active",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"1030","DISTURBANCE - PRIORITY","Disturbance","Self-Initiated",15,"15-24","0","0",1833369,276370859,"0","White","Male","No","Control Against Resistance","Control Against Resistance",NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,2,"III","2","Saturday","Release to Medical",274537490,"June","1200-1759",2019,690111,"East Precinct","East Precinct",2,"[0-2]","Active","Active",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"1031","DISTURBANCE - PRIORITY","Disturbance","Self-Initiated",15,"15-24","0","0",1833369,276370859,"0","White","Male","No","Resisted HC","Takedown (II and III)","Control Against Resistance","Hobble","Control Against Resistance","Control Against Resistance",NA,NA,1,1,1,1,1,1,0,0,6,"III","2","Saturday","Release to Medical",274537490,"June","1200-1759",2019,1099151,"East Precinct","East Precinct",2,"[0-2]","Active","Active","Active","Active","Active","Active",NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"1032","WELFARE CHECK - PRIORITY","Welfare Check","Dispatched",15,"15-24","1","1",4118809,853665305,"0","White","Male","No","Takedown (IV)",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,"IV","1","Monday","Detox",849546496,"March","1800-2359",2020,495291,"Central Precinct","Central Precinct",2,"[0-2]","Active",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"1033","ROBBERY - WITH WEAPON *H","Robbery","Dispatched",16,"15-24","0","0",4124658,114671506,"0","Asian","Male","No","Takedown (II and III)",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,"III","2","Friday","Arrest-Felony",110546848,"April","1800-2359",2020,239271,"East Precinct","East Precinct",2,"[0-2]","Active",NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,0,0,0,0,1,1,1
"1034","ROBBERY - WITH WEAPON *H","Robbery","Dispatched",16,"15-24","0","0",4124658,114671506,"0","Asian","Male","No","Takedown (II and III)",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,"III","2","Friday","Arrest-Felony",110546848,"April","1800-2359",2020,937241,"East Precinct","East Precinct",2,"[0-2]","Active",NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,0,0,0,0,1,1,1
"1035","DISTURBANCE - PRIORITY","Disturbance","Dispatched",17,"15-24","1","0",3822192,459358834,"0","White","Male","No","Control Against Resistance",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,"IV","1","Monday","Release to Medical",455536642,"March","1800-2359",2019,1035151,"East Precinct","East Precinct",2,"[0-2]","Active",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"1036","DISTURBANCE - PRIORITY","Disturbance","Dispatched",17,"15-24","0","0",604169,885140375,"0","Black","Male","No","Control Against Resistance",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,"IV","1","Saturday","Arrest-Misdemeanor",884536206,"February","1200-1759",2019,1031151,"North Precinct","North Precinct",2,"[0-2]","Aggressive",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"1037","DISTURBANCE - PRIORITY","Disturbance","Dispatched",18,"15-24","1","1",3570724,179118323,"0","White","Male","No","Control Against Resistance","Resisted HC",NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,2,"III","2","Sunday","Arrest-Cited",175547599,"June","1200-1759",2020,506291,"East Precinct","East Precinct",2,"[0-2]","Active","Active",NA,NA,NA,NA,NA,NA,0,0,0,1,0,0,0,0,0,2,1,1
"1038","DISTURBANCE - PRIORITY","Disturbance","Dispatched",18,"15-24","1","1",3570724,179118323,"0","White","Male","No","Control Against Resistance","Takedown (II and III)","Resisted HC",NA,NA,NA,NA,NA,1,1,1,0,0,0,0,0,3,"III","2","Sunday","Arrest-Cited",175547599,"June","1200-1759",2020,712811,"East Precinct","East Precinct",2,"[0-2]","Active","Active","Active",NA,NA,NA,NA,NA,0,0,0,1,0,0,0,0,0,2,1,1
"1039","DISTURBANCE - PRIORITY","Disturbance","Dispatched",18,"15-24","1","0",4188539,828744895,"0","White","Female","No","Control Against Resistance","Control Against Resistance",NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,2,"III","2","Saturday","Detained and Released",824556356,"March","1200-1759",2021,981341,"Central Precinct","Central Precinct",2,"[0-2]","Active","Active",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"1040","DISTURBANCE - PRIORITY","Disturbance","Dispatched",18,"15-24","0","0",4005140,412550951,"0","Native American","Female","Yes","Control Against Resistance",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,"IV","1","Sunday","Arrest-Felony",408545811,"January","1200-1759",2020,554201,"Central Precinct","Central Precinct",2,"[0-2]","Active",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"1041","DISTURBANCE - PRIORITY","Disturbance","Dispatched",18,"15-24","0","0",4005140,412550951,"0","Native American","Female","Yes","Resisted HC",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,"IV","1","Sunday","Arrest-Felony",408545811,"January","1200-1759",2020,438291,"Central Precinct","Central Precinct",2,"[0-2]","Active",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"1042","DISTURBANCE - PRIORITY","Disturbance","Dispatched",18,"15-24","0","0",4005140,412550951,"0","Native American","Female","Yes","Resisted HC",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,"IV","1","Sunday","Arrest-Felony",408545811,"January","1200-1759",2020,843231,"Central Precinct","Central Precinct",2,"[0-2]","Active",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"1043","ASSIST - CITIZEN OR AGENCY","Assist","Self-Initiated",19,"15-24","0","0",542710,959090137,"0","Black","Male","No","Box-in VIS","Control Against Resistance","Takedown (II and III)",NA,NA,NA,NA,NA,1,1,1,0,0,0,0,0,3,"III","2","Thursday","Release to Medical",958547427,"May","1800-2359",2020,851231,"East Precinct","East Precinct",2,"[0-2]","Active","Active","Active",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"1044","WELFARE CHECK - COLD","Welfare Check","Dispatched",19,"15-24","0","1",3682845,264222395,"0","White","Female","Yes","Control Against Resistance","Control Against Resistance",NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,2,"IV","1","Sunday","Arrest-Misdemeanor",260539550,"November","0000-0559",2019,883231,"East Precinct","East Precinct",2,"[0-2]","Active","Active",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"1045","WELFARE CHECK - COLD","Welfare Check","Dispatched",19,"15-24","0","1",3682845,264222395,"0","White","Female","Yes","Control Against Resistance","Resisted HC","Control Against Resistance",NA,NA,NA,NA,NA,1,1,1,0,0,0,0,0,3,"IV","1","Sunday","Arrest-Misdemeanor",260539550,"November","0000-0559",2019,269171,"East Precinct","East Precinct",2,"[0-2]","Active","Active","Active",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"1046","MEDICAL ASSIST","Assist","Dispatched",19,"15-24","0","1",1836364,972383491,"0","Black","Male","No","Control Against Resistance",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,"IV","1","Sunday","Detained and Released",970547127,"May","1800-2359",2020,233271,"Central Precinct","Central Precinct",2,"[0-2]","Aggressive",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"1047","ECIT","Behavioral Health","Dispatched",19,"15-24","1","0",1780961,776327646,"1","White","Female","No","Control Against Resistance",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,"IV","1","Friday","Release to Medical",774546685,"March","0600-1159",2020,554201,"Central Precinct","Central Precinct",2,"[0-2]","Active",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,0,0,0,1,1,1
"1048","DISTURBANCE - WITH WEAPON *H","Disturbance","Dispatched",19,"15-24","1","0",598056,682154470,"1","White","Male","No","Takedown (IV)","Resisted HC",NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,2,"IV","1","Friday","Release to Medical",681556414,"March","1200-1759",2021,170361,"North Precinct","North Precinct",2,"[0-2]","Aggressive","Active",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1,0,0,1,1
"1049","DISTURBANCE - WITH WEAPON *H","Disturbance","Dispatched",19,"15-24","1","0",598056,682154470,"1","White","Male","No","Takedown (IV)","Resisted HC",NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,2,"IV","1","Friday","Release to Medical",681556414,"March","1200-1759",2021,1056351,"North Precinct","North Precinct",2,"[0-2]","Aggressive","Active",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1,0,0,1,1
"1050","TRAFFIC STOP","Traffic Stop","Self-Initiated",20,"15-24","0","1",3776966,836334102,"0","White","Male","No","Resisted HC",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,"IV","1","Sunday","Arrest-Misdemeanor",832557136,"May","0000-0559",2021,750421,"East Precinct","East Precinct",2,"[0-2]","Active",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"1051","SUICIDE ATTEMPT OR THREAT","Behavioral Health","Dispatched",20,"15-24","0","0",4131647,87678865,"1","Native American","Female","No","Control Against Resistance",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,"IV","1","Sunday","Release to Medical",83547218,"May","1800-2359",2020,703211,"Central Precinct","Central Precinct",2,"[0-2]","Active",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"1052","DISTURBANCE - PRIORITY","Disturbance","Dispatched",20,"15-24","1","0",4131957,681679191,"0","Asian","Male","No","Control Against Resistance",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,"IV","1","Tuesday","Cite and Release",677547234,"May","0000-0559",2020,884231,"Central Precinct","Central Precinct",2,"[0-2]","Active",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,1,1,1
"1053","DISTURBANCE - PRIORITY","Disturbance","Dispatched",21,"15-24","0","1",3997200,997544937,"0","White","Male","No","Control Against Resistance",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,"III","2","Monday","Arrest-Misdemeanor",993547737,"June","0000-0559",2020,133261,"East Precinct","East Precinct",2,"[0-2]","Active",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"1054","DISTURBANCE - PRIORITY","Disturbance","Dispatched",21,"15-24","0","1",3997200,997544937,"0","White","Male","No","Control Against Resistance",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,"III","2","Monday","Arrest-Misdemeanor",993547737,"June","0000-0559",2020,794221,"East Precinct","East Precinct",2,"[0-2]","Active",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"1055","DISTURBANCE - PRIORITY","Disturbance","Dispatched",21,"15-24","0","1",3997200,997544937,"0","White","Male","No","Takedown (II and III)","Control Against Resistance",NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,2,"III","2","Monday","Arrest-Misdemeanor",993547737,"June","0000-0559",2020,486291,NA,NA,2,"[0-2]","Active","Active",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"1056","DISTURBANCE - PRIORITY","Disturbance","Dispatched",21,"15-24","0","1",3997200,997544937,"0","White","Male","No","Takedown (II and III)","Resisted HC",NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,2,"III","2","Monday","Arrest-Misdemeanor",993547737,"June","0000-0559",2020,630311,NA,NA,2,"[0-2]","Active","Active",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"1057","DISTURBANCE - PRIORITY","Disturbance","Dispatched",21,"15-24","0","1",3997200,997544937,"0","White","Male","No","Takedown (II and III)","Resisted HC",NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,2,"III","2","Monday","Arrest-Misdemeanor",993547737,"June","0000-0559",2020,349281,"East Precinct","East Precinct",2,"[0-2]","Active","Active",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"1058","UNWANTED PERSON","Unwanted Person","Dispatched",21,"15-24","0","0",3998494,58535302,"0","White","Female","Yes","Control Against Resistance",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,"III","2","Monday","Arrest-Warrant",54536808,"April","0600-1159",2019,753121,"Central Precinct","Central Precinct",2,"[0-2]","Active",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"1059","DISTURBANCE - PRIORITY","Disturbance","Self-Initiated",21,"15-24","0","0",3926380,780474635,"0","Black","Female","No","Control Against Resistance","Takedown (II and III)","Resisted HC","Control Against Resistance",NA,NA,NA,NA,1,1,1,1,0,0,0,0,4,"III","2","Thursday","Arrest-Misdemeanor",776548255,"August","1200-1759",2020,588301,NA,NA,2,"[0-2]","Active","Active","Active","Active",NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"1060","UNWANTED PERSON","Unwanted Person","Dispatched",21,"15-24","1","0",4056009,375595530,"0","Black","Female","Yes","Control Against Resistance",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,"III","2","Thursday","Release to Medical",371539521,"November","1800-2359",2019,1047151,"Central Precinct","Central Precinct",2,"[0-2]","Aggressive",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"1061","TRAFFIC STOP","Traffic Stop","Self-Initiated",21,"15-24","1","0",4083639,935630016,"0","Black","Male","No","Takedown (II and III)",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,"III","2","Saturday","Arrest-Felony",931546377,"February","0000-0559",2020,630311,"East Precinct","East Precinct",2,"[0-2]","Active",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"1062","ACCIDENT - HIT AND RUN - COLD","Collision","Self-Initiated",21,"15-24","1","0",4040548,350578399,"0","White","Female","Yes","Control Against Resistance","Takedown (II and III)","Control Against Resistance",NA,NA,NA,NA,NA,1,1,1,0,0,0,0,0,3,"III","2","Saturday","Arrest-Misdemeanor",346537851,"June","1200-1759",2019,427191,"East Precinct","East Precinct",2,"[0-2]","Active","Aggressive","Active",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"1063","ACCIDENT - HIT AND RUN - COLD","Collision","Self-Initiated",21,"15-24","0","0",4040548,350578399,"0","White","Female","Yes","Control Against Resistance","Takedown (II and III)","Control Against Resistance",NA,NA,NA,NA,NA,1,1,1,0,0,0,0,0,3,"III","2","Saturday","Arrest-Misdemeanor",346537851,"June","1200-1759",2019,571201,"East Precinct","East Precinct",2,"[0-2]","Active","Aggressive","Active",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"1064","SUSPICIOUS SUBJ, VEH, OR CIRCUMSTANCE","Suspicious","Self-Initiated",21,"15-24","0","0",1796265,115333054,"0","Black","Male","No","Resisted HC",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,"III","2","Saturday","Arrest-Misdemeanor",113536789,"April","1200-1759",2019,1035151,"East Precinct","East Precinct",2,"[0-2]","Active",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"1065","UNWANTED PERSON","Unwanted Person","Dispatched",21,"15-24","0","0",3998494,58535302,"0","White","Female","Yes","Control Against Resistance",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,"IV","1","Monday","Arrest-Warrant",54536808,"April","0600-1159",2019,1033151,"Central Precinct","Central Precinct",2,"[0-2]","Active",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"1066","ASSAULT - PRIORITY","Assault","Dispatched",21,"15-24","0","1",1614809,48162657,"0","Black","Female","No","Control Against Resistance",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,"IV","1","Thursday","Arrest-Misdemeanor",46547848,"July","1800-2359",2020,233271,"Central Precinct","Central Precinct",2,"[0-2]","Active",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"1067","ECIT","Behavioral Health","Dispatched",21,"15-24","1","1",532715,164081394,"1","White","Female","Yes","Control Against Resistance",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,"IV","1","Friday","Release to Medical",163548679,"October","1200-1759",2020,293271,"Central Precinct","Central Precinct",2,"[0-2]","Active",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,1,0,1,1,1
"1068","ECIT","Behavioral Health","Dispatched",21,"15-24","1","1",532715,164081394,"1","White","Female","Yes","Control Against Resistance",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,"IV","1","Friday","Release to Medical",163548679,"October","1200-1759",2020,495291,"Central Precinct","Central Precinct",2,"[0-2]","Active",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,1,0,1,1,1
"1069","WELFARE CHECK - COLD","Welfare Check","Self-Initiated",21,"15-24","1","0",4069804,828608570,"0",NA,"Male",NA,"Hobble",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,"IV","1","Saturday","Release to Medical",824538766,"September","0000-0559",2019,853231,"Central Precinct","Central Precinct",2,"[0-2]","Active",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,1,1,1
"1070","WELFARE CHECK - COLD","Welfare Check","Self-Initiated",21,"15-24","1","0",4069804,828608570,"0",NA,"Male",NA,"Resisted HC","Takedown (IV)",NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,2,"IV","1","Saturday","Release to Medical",824538766,"September","0000-0559",2019,132261,"Central Precinct","Central Precinct",2,"[0-2]","Active","Active",NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,1,1,1
"1071","WELFARE CHECK - COLD","Welfare Check","Self-Initiated",21,"15-24","1","0",4069804,828608570,"0",NA,"Male",NA,"Takedown (IV)","Resisted HC",NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,2,"IV","1","Saturday","Release to Medical",824538766,"September","0000-0559",2019,884231,"Central Precinct","Central Precinct",2,"[0-2]","Active","Active",NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,1,1,1
"1072","DISTURBANCE - PRIORITY","Disturbance","Dispatched",22,"15-24","0","0",558663,999097440,"0","Black","Male","No","Resisted HC",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,"III","2","Sunday","Arrest-Misdemeanor",998538777,"September","0000-0559",2019,932241,"North Precinct","North Precinct",2,"[0-2]","Active",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"1073","DISTURBANCE - PRIORITY","Disturbance","Dispatched",22,"15-24","0","0",558663,999097440,"0","Black","Male","No","Resisted HC","Takedown (II and III)",NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,2,"III","2","Sunday","Arrest-Misdemeanor",998538777,"September","0000-0559",2019,842231,"North Precinct","North Precinct",2,"[0-2]","Active","Active",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"1074","WELFARE CHECK - PRIORITY","Welfare Check","Dispatched",22,"15-24","1","0",4103445,967649252,"0","Asian","Male","No","Control Against Resistance",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,"III","2","Sunday","Cite and Release",963545807,"January","0000-0559",2020,794221,"North Precinct","North Precinct",2,"[0-2]","Active",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"1075","ROBBERY - PRIORITY *H","Robbery","Dispatched",22,"15-24","0","0",4015895,879553641,"0","Black","Male","Yes","Control Against Resistance",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,"III","2","Friday","Arrest-Felony",875537746,"June","1200-1759",2019,554201,"Central Precinct","Central Precinct",2,"[0-2]","Active",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"1076","CAMPING - GENERAL - POLICE USE ONLY","Area/Premise Check","Self-Initiated",22,"15-24","0","0",4036410,747573615,"0","Black","Male","Yes","Resisted HC",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,"III","2","Friday","Cite and Release",743537205,"May","1200-1759",2019,431191,"Central Precinct","Central Precinct",2,"[0-2]","Active",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"1077","CAMPING - GENERAL - POLICE USE ONLY","Area/Premise Check","Self-Initiated",22,"15-24","0","0",4036410,747573615,"0","Black","Male","Yes","Takedown (II and III)","Control Against Resistance",NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,2,"III","2","Friday","Cite and Release",743537205,"May","1200-1759",2019,753121,"Central Precinct","Central Precinct",2,"[0-2]","Active","Active",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
