Blunt Object,Category of Force Event - Measured at Event Level,Disposition/Custody,DOW,Firearm,Firearm - Implied,Firearm - Replica,Force Applied - 1,Force Applied - 2,Force Applied - 3,Force Applied - 4,Force Applied - 5,Force Applied - 6,Force Applied - 7,Force Applied - 8,Hour (6Hr),Initial Call Category,Initial Call type,Knife / Edged Weapon / Stabbing Instrument,"Mental Health Crisis - Prior to Force, Perceived Lack of Compliance",Month,Needle / Spit / Bodily Fluids,No weapon (unarmed),Officer,Officer Precinct,Officer Tenure,Other Weapon,Record ID,Subject,Subject - Race,Subject - Sex,Subject - Transient,Subject Age,Subject Instance,Subject Resistance - 1,Subject Resistance - 2,Subject Resistance - 3,Subject Resistance - 4,Subject Resistance - 5,Subject Resistance - 6,Subject Resistance - 7,Subject Resistance - 8,Type of Call,"Under the Influence of Alcohol - Prior to Force, Perceived Condition","Under the Influence of Drugs - Prior to Force, Perceived Condition",Weapon Present or reported but not used or threatened use,Year,Record Count,Record Count
,II,Arrest-Felony,Tuesday,,,,Less Lethal,,,,,,,,1800-2359,Disturbance,DISTURBANCE - WITH WEAPON *H,Knife / Edged Weapon / Stabbing Instrument,,August,,,835131,East Precinct,4,Vehicle,520557963,4080107,White,Female,No,21,524638070,Aggressive,,,,,,,,Dispatched,,,,2021,1,1
,II,Arrest-Felony,Tuesday,,,,PFA,,,,,,,,0000-0559,Threat,THREAT - WITH WEAPON *H,,,November,,,249970,East Precinct,15,,213549180,582334,White,Male,Yes,21,214131514,Active,,,,,,,,Dispatched,,,Weapon Present or reported but not used or threatened use,2020,1,1
,II,Arrest-Felony,Tuesday,,,,PFA,,,,,,,,0600-1159,TriMet,TRIMET INCIDENT - PRIORITY,,,May,,,554499,East Precinct,25,,797547235,419748,White,Male,Yes,36,797966983,Aggressive,,,,,,,,Dispatched,,,Weapon Present or reported but not used or threatened use,2020,1,1
,II,Arrest-Felony,Tuesday,,,,PFA,Aerosol rest.,Aerosol rest.,,,,,,-,Behavioral Health,ECIT,Knife / Edged Weapon / Stabbing Instrument,,December,,,861531,Central Precinct,8.499923896,,959519857,3723715,White,Female,Yes,20.272526636,3723715959519857,Aggressive,Aggressive,Aggressive,,,,,,Self-Initiated,,,,2017,1,1
,II,Arrest-Felony,Tuesday,,,,PFA,PFA,,,,,,,1800-2359,Shots Fired,SHOTS FIRED,,,July,,,987539,East Precinct,24,,952547827,487246,Black,Male,Yes,31,953035073,Active,Active,,,,,,,Dispatched,,,Weapon Present or reported but not used or threatened use,2020,1,1
,II,Arrest-Felony,Tuesday,,,,PFA,PFA,K9,,,,,,0000-0559,Threat,THREAT - WITH WEAPON *H,,,November,,,213461,K9,5,,213549180,582334,White,Male,Yes,21,214131514,Active,Active,Active,,,,,,Dispatched,,,Weapon Present or reported but not used or threatened use,2020,1,1
,II,Arrest-Felony,Tuesday,,,,PIT - VIS,Strikes/kicks,,,,,,,0000-0559,Threat,THREAT - WITH WEAPON *H,,,November,,,232271,East Precinct,3,,213549180,582334,White,Male,Yes,21,214131514,Active,Active,,,,,,,Dispatched,,,Weapon Present or reported but not used or threatened use,2020,1,1
,II,Arrest-Felony,Tuesday,,,,Resisted HC,,,,,,,,0000-0559,Threat,THREAT - WITH WEAPON *H,,,November,,,552501,East Precinct,11,,213549180,582334,White,Male,Yes,21,214131514,Active,,,,,,,,Dispatched,,,Weapon Present or reported but not used or threatened use,2020,1,1
,II,Arrest-Felony,Tuesday,,,,Resisted HC,,,,,,,,1200-1759,Theft,THEFT - PRIORITY,Knife / Edged Weapon / Stabbing Instrument,,April,,,1027551,East Precinct,9,,182536739,4020584,White,Male,Yes,37,186557323,Aggressive,,,,,,,,Dispatched,Yes,Yes,,2019,1,1
,II,Arrest-Felony,Tuesday,,,,Resisted HC,,,,,,,,1200-1759,Threat,THREAT - COLD,,,May,,No weapon (unarmed),973138,East Precinct,28,,180547409,4135100,White,Female,No,62,184682509,Active,,,,,,,,Dispatched,,,,2020,1,1
,II,Arrest-Felony,Tuesday,,,,Resisted HC,,,,,,,,1200-1759,TriMet,TRIMET INCIDENT - PRIORITY,,,January,,No weapon (unarmed),686210,East Precinct,5,,522545913,4079821,Black,Female,Yes,28,526625734,Active,,,,,,,,Dispatched,,,,2020,1,1
,II,Arrest-Felony,Tuesday,,,,Resisted HC,,,,,,,,1200-1759,TriMet,TRIMET INCIDENT - PRIORITY,,,January,,No weapon (unarmed),775419,East Precinct,19,,522545913,4079821,Black,Female,Yes,28,526625734,Active,,,,,,,,Dispatched,,,,2020,1,1
,II,Arrest-Felony,Tuesday,,,,Resisted HC,,,,,,,,1800-2359,Suspicious,SUSPICIOUS - PRIORITY,,,April,,,593300,North Precinct,11,,423537082,378665,Black,Male,Yes,29,423915747,Aggressive,,,,,,,,Dispatched,,Yes,Weapon Present or reported but not used or threatened use,2019,1,1
,II,Arrest-Felony,Tuesday,,,,Resisted HC,,,,,,,,1800-2359,Suspicious,SUSPICIOUS - PRIORITY,,,April,,,1110550,North Precinct,17,,423537082,378665,Black,Male,Yes,29,423915747,Active,,,,,,,,Dispatched,,Yes,Weapon Present or reported but not used or threatened use,2019,1,1
,II,Arrest-Felony,Tuesday,,,,Resisted HC,,,,,,,,1800-2359,Threat,THREAT - COLD,,,May,,No weapon (unarmed),1005939,East Precinct,21,,180547409,4135100,White,Female,No,62,184682509,Aggressive,,,,,,,,Dispatched,,,,2020,1,1
,II,Arrest-Felony,Tuesday,,,,Resisted HC,,,,,,,,1800-2359,Threat,THREAT - COLD,,,May,,No weapon (unarmed),281069,Family Services,21,,180547409,4135100,White,Female,No,62,184682509,Active,,,,,,,,Dispatched,,,,2020,1,1
,II,Arrest-Felony,Tuesday,,,,Resisted HC,Resisted HC,,,,,,,1200-1759,Suspicious,"SUSPICIOUS SUBJ, VEH, OR CIRCUMSTANCE",,,November,,,500492,North Precinct,1,,939548987,351700,White,Male,Yes,40,939900687,Aggressive,Aggressive,,,,,,,Dispatched,,,Weapon Present or reported but not used or threatened use,2020,1,1
,II,Arrest-Felony,Tuesday,,,,Resisted HC,Resisted HC,Hobble,Control Against Resistance,,,,,1200-1759,Theft,THEFT - PRIORITY,,,October,,No weapon (unarmed),713409,East Precinct,18,,898548786,1507941,White,Male,No,34,900056727,Active,Active,Aggressive,Active,,,,,Dispatched,,,,2020,1,1
,II,Arrest-Felony,Tuesday,,,,Resisted HC,Takedown (II and III),,,,,,,1800-2359,Threat,THREAT - COLD,,,May,,No weapon (unarmed),774521,East Precinct,11,,180547409,4135100,White,Female,No,62,184682509,Active,Aggressive,,,,,,,Dispatched,,,,2020,1,1
,II,Arrest-Felony,Tuesday,,,,Resisted HC,Takedown (II and III),Resisted HC,,,,,,1200-1759,Suspicious,"SUSPICIOUS SUBJ, VEH, OR CIRCUMSTANCE",,,November,,,1031451,Traffic,1,,939548987,351700,White,Male,Yes,40,939900687,Aggressive,Aggressive,Active,,,,,,Dispatched,,,Weapon Present or reported but not used or threatened use,2020,1,1
,II,Arrest-Felony,Tuesday,,,,Resisted HC,Takedown (II and III),Resisted HC,,,,,,1200-1759,Theft,THEFT - PRIORITY,,,October,,No weapon (unarmed),358482,North Precinct,0,,898548786,1507941,White,Male,No,34,900056727,Active,Aggressive,Aggressive,,,,,,Dispatched,,,,2020,1,1
,II,Arrest-Felony,Tuesday,,,,Strikes/kicks,,,,,,,,1800-2359,Disturbance,DISTURBANCE - WITH WEAPON *H,Knife / Edged Weapon / Stabbing Instrument,,August,,,551100,East Precinct,15,Vehicle,520557963,4080107,White,Female,No,21,524638070,Active,,,,,,,,Dispatched,,,,2021,1,1
,II,Arrest-Felony,Tuesday,,,,Strikes/kicks,Strikes/kicks,Strikes/kicks,Takedown (II and III),Control Against Resistance,,,,1800-2359,Traffic Stop,TRAFFIC STOP,,,January,,,915631,East Precinct,6.805454718,Vehicle,822526026,471629,White,Male,No,26.980797184,471629822526026,Deadly,Deadly,Deadly,Aggressive,Active,,,,Self-Initiated,,,,2018,1,1
,II,Arrest-Felony,Tuesday,,,,Takedown (II and III),,,,,,,,1200-1759,Assist,ASSIST - CITIZEN OR AGENCY,,,September,,No weapon (unarmed),645211,Central Precinct,1,,748548575,4140510,Black,Male,Yes,51,752689085,Aggressive,,,,,,,,Self-Initiated,,,,2020,1,1
,II,Arrest-Felony,Tuesday,,,,Takedown (II and III),,,,,,,,1200-1759,Behavioral Health,ECIT,Knife / Edged Weapon / Stabbing Instrument,Yes,February,Needle / Spit / Bodily Fluids,,777220,East Precinct,14,,647556104,400905,White,Male,Yes,38,647957009,Aggressive,,,,,,,,Dispatched,Yes,Yes,,2021,1,1
,II,Arrest-Felony,Tuesday,,,,Takedown (II and III),,,,,,,,1200-1759,TriMet,TRIMET INCIDENT - PRIORITY,,,January,,,990539,East Precinct,18,,522545913,137615,Hispanic,Male,Yes,24,522683528,Active,,,,,,,,Dispatched,,Yes,Weapon Present or reported but not used or threatened use,2020,1,1
,II,Arrest-Felony,Tuesday,,,,Takedown (IV),Resisted HC,,,,,,,1200-1759,Theft,THEFT - PRIORITY,Knife / Edged Weapon / Stabbing Instrument,,April,,,509589,East Precinct,23,,182536739,4020584,White,Male,Yes,37,186557323,Active,Aggressive,,,,,,,Dispatched,Yes,Yes,,2019,1,1
,II,Arrest-Felony,Tuesday,,,Firearm - Replica,Resisted HC,,,,,,,,1800-2359,Behavioral Health,ECIT,,Yes,April,,,183958,East Precinct,26.980709665,Firearm- pellet gun,290526850,598319,Hispanic,Male,No,31.177969939,290526850598319,Active,,,,,,,,Dispatched,Yes,,,2018,1,1
,II,Arrest-Misdemeanor,Tuesday,,,,CEW,,,,,,,,1200-1759,School Incident,SCHOOL INCIDENT - PRIORITY,,Yes,June,,,828628,East Precinct,26,,350557231,424212,White,Male,Yes,44,350981443,Active,,,,,,,,Dispatched,,,Weapon Present or reported but not used or threatened use,2021,1,1
,II,Arrest-Misdemeanor,Tuesday,,,,Control Against Resistance,,,,,,,,0000-0559,Disorder,911 HANGUP,,,February,,No weapon (unarmed),842231,North Precinct,3,,421556042,551675,Hispanic,Male,No,25,422107717,Aggressive,,,,,,,,Dispatched,Yes,,,2021,1,1
,II,Arrest-Misdemeanor,Tuesday,,,,Control Against Resistance,,,,,,,,0600-1159,Other,DETAIL,,,May,,No weapon (unarmed),775220,Transit (PPB Only),12,,203537339,620819,White,Male,No,39,204158158,Active,,,,,,,,Self-Initiated,,Yes,,2019,1,1
,II,Arrest-Misdemeanor,Tuesday,,,,Control Against Resistance,,,,,,,,0600-1159,Other,DETAIL,,,May,,No weapon (unarmed),748120,Transit (PPB Only),13,,203537339,620819,White,Male,No,39,204158158,Active,,,,,,,,Self-Initiated,,Yes,,2019,1,1
,II,Arrest-Misdemeanor,Tuesday,,,,Control Against Resistance,,,,,,,,1800-2359,Traffic Stop,TRAFFIC STOP,,,October,,No weapon (unarmed),836731,East Precinct,3,,631539074,496229,Hispanic,Male,No,36,632035303,Aggressive,,,,,,,,Self-Initiated,,,,2019,1,1
,II,Arrest-Misdemeanor,Tuesday,,,,Control Against Resistance,,,,,,,,1800-2359,Traffic Stop,TRAFFIC STOP,,,October,,No weapon (unarmed),1027551,East Precinct,9,,631539074,496229,Hispanic,Male,Yes,36,632035303,Aggressive,,,,,,,,Self-Initiated,,,,2019,1,1
,II,Arrest-Misdemeanor,Tuesday,,,,Control Against Resistance,,,,,,,,1800-2359,Traffic Stop,TRAFFIC STOP,,,October,,No weapon (unarmed),212461,East Precinct,10,,631539074,496229,Hispanic,Male,No,36,632035303,Aggressive,,,,,,,,Self-Initiated,,,,2019,1,1
,II,Arrest-Misdemeanor,Tuesday,,,,Control Against Resistance,,,,,,,,1800-2359,Traffic Stop,TRAFFIC STOP,,,October,,No weapon (unarmed),746120,East Precinct,13,,631539074,496229,Hispanic,Male,No,36,632035303,Aggressive,,,,,,,,Self-Initiated,,,,2019,1,1
,II,Arrest-Misdemeanor,Tuesday,,,,Control Against Resistance,Control Against Resistance,Takedown (IV),Resisted HC,,,,,1200-1759,Theft,THEFT - COLD,,,February,,No weapon (unarmed),747119,North Precinct,21,,865546076,404330,Black,Female,Yes,32,865950406,Active,Active,Active,Active,,,,,Dispatched,,,,2020,1,1
,II,Arrest-Misdemeanor,Tuesday,,,,Control Against Resistance,Resisted HC,,,,,,,1200-1759,Assist,ASSIST - CITIZEN OR AGENCY,,,January,,No weapon (unarmed),193659,Central Precinct,21.917062405,,950525937,1366824,Black,Male,No,15.037610350,1366824950525937,Aggressive,Active,,,,,,,Dispatched,,,,2018,1,1
,II,Arrest-Misdemeanor,Tuesday,,,,Control Against Resistance,Takedown (II and III),Resisted HC,,,,,,0000-0559,Disorder,911 HANGUP,,,February,,No weapon (unarmed),1003139,North Precinct,22,,421556042,551675,Hispanic,Male,No,25,422107717,Aggressive,Aggressive,Aggressive,,,,,,Dispatched,Yes,,,2021,1,1
,II,Arrest-Misdemeanor,Tuesday,,,,Control Against Resistance,Takedown (IV),Resisted HC,,,,,,1200-1759,Theft,THEFT - PRIORITY,,,February,,No weapon (unarmed),374178,North Precinct,27,,865546076,404330,Black,Female,Yes,32,865950406,Active,Active,Active,,,,,,Dispatched,,,,2020,1,1
,II,Arrest-Misdemeanor,Tuesday,,,,K9,,,,,,,,1200-1759,Burglary,BURGLARY - PRIORITY *H,,,September,,No weapon (unarmed),772720,TOD,15.453521689,,251528700,3836295,Black,Male,Yes,28.952151826,2515287003836295,Active,,,,,,,,Dispatched,,,,2018,1,1
,II,Arrest-Misdemeanor,Tuesday,,,,Less Lethal,,,,,,,,1200-1759,Behavioral Health,ECIT,Knife / Edged Weapon / Stabbing Instrument,Yes,July,,,863931,North Precinct,4,,999557667,609689,Asian,Female,No,46,1000167356,Aggressive,,,,,,,,Dispatched,,,,2021,1,1
,II,Arrest-Misdemeanor,Tuesday,,,,Resisted HC,,,,,,,,1200-1759,Assist,ASSIST - CITIZEN OR AGENCY,,,January,,No weapon (unarmed),1035151,Central Precinct,0.993797565,,950525937,1621228,White,Female,No,14.032153729,1621228950525937,Active,,,,,,,,Dispatched,,,,2018,1,1
,II,Arrest-Misdemeanor,Tuesday,,,,Resisted HC,,,,,,,,1200-1759,Assist,ASSIST - CITIZEN OR AGENCY,,,January,,No weapon (unarmed),677011,Central Precinct,2.029398782,,950525937,1366824,Black,Male,No,15.037617960,1366824950525937,Active,,,,,,,,Dispatched,,,,2018,1,1
,II,Arrest-Misdemeanor,Tuesday,,,,Resisted HC,,,,,,,,1200-1759,Theft,THEFT - COLD,,,February,,No weapon (unarmed),291271,North Precinct,2,,865546076,404330,Black,Female,Yes,32,865950406,Active,,,,,,,,Dispatched,,,,2020,1,1
,II,Arrest-Misdemeanor,Tuesday,,,,Resisted HC,Control Against Resistance,,,,,,,1200-1759,Assist,ASSIST - CITIZEN OR AGENCY,,,January,,No weapon (unarmed),193659,Central Precinct,21.917075723,,950525937,1621228,White,Female,No,14.032144216,1621228950525937,Active,Active,,,,,,,Dispatched,,,,2018,1,1
,II,Arrest-Misdemeanor,Tuesday,,,,Resisted HC,Takedown (II and III),,,,,,,0600-1159,Other,DETAIL,,,May,,No weapon (unarmed),186960,Transit (PPB Only),14,,203537339,620819,White,Male,No,39,204158158,Active,Active,,,,,,,Self-Initiated,,Yes,,2019,1,1
,II,Arrest-Misdemeanor,Tuesday,,,,Resisted HC,Takedown (II and III),Strikes/kicks,Strikes/kicks,Strikes/kicks,Strikes/kicks,Strikes/kicks,Strikes/kicks,1800-2359,Traffic Stop,TRAFFIC STOP,,,October,,No weapon (unarmed),776021,East Precinct,3,,631539074,496229,Hispanic,Male,No,36,632035303,Aggressive,Aggressive,Aggressive,Aggressive,Aggressive,Aggressive,Aggressive,Aggressive,Self-Initiated,,,,2019,1,1
,II,Arrest-Misdemeanor,Tuesday,,,,Resisted HC,Takedown (II and III),Takedown (II and III),Resisted HC,,,,,1800-2359,Traffic Stop,TRAFFIC STOP,,,October,,No weapon (unarmed),561699,Traffic,13,,631539074,496229,Hispanic,Male,No,36,632035303,Aggressive,Aggressive,Aggressive,Aggressive,,,,,Self-Initiated,,,,2019,1,1
,II,Arrest-Misdemeanor,Tuesday,,,,Takedown (II and III),Control Against Resistance,,,,,,,1200-1759,Assist,ASSIST - CITIZEN OR AGENCY,,,January,,No weapon (unarmed),1035151,Central Precinct,0.993782344,,950525937,1366824,Black,Male,No,15.037617960,1366824950525937,Aggressive,Aggressive,,,,,,,Dispatched,,,,2018,1,1
,II,Arrest-Misdemeanor,Tuesday,,,,Takedown (II and III),Resisted HC,CEW,CEW,CEW,CEW,Resisted HC,,0000-0559,Disorder,911 HANGUP,,,February,,No weapon (unarmed),882231,North Precinct,3,,421556042,551675,Hispanic,Male,No,25,422107717,Aggressive,Aggressive,Aggressive,Aggressive,Aggressive,Aggressive,Aggressive,,Dispatched,Yes,,,2021,1,1
,II,Arrest-Misdemeanor,Tuesday,,,,Takedown (II and III),Resisted HC,Control Against Resistance,,,,,,0600-1159,Other,DETAIL,,,May,,No weapon (unarmed),619800,Transit (PPB Only),10,,203537339,620819,White,Male,No,39,204158158,Active,Active,Active,,,,,,Self-Initiated,,Yes,,2019,1,1
,II,Arrest-Misdemeanor,Tuesday,,,,Takedown (II and III),Takedown (II and III),Control Against Resistance,Resisted HC,,,,,1200-1759,Assist,ASSIST - CITIZEN OR AGENCY,,,January,,No weapon (unarmed),796721,Central Precinct,5.547207002,,950525937,1366824,Black,Male,No,15.037617960,1366824950525937,Aggressive,Aggressive,Aggressive,Active,,,,,Dispatched,,,,2018,1,1
,II,Arrest-Other Agency,Tuesday,,,,Aerosol rest.,Aerosol rest.,Aerosol rest.,,,,,,1200-1759,Escape/Pursuit,TRAFFIC PURSUIT *H,,,June,,,777220,East Precinct,14,Vehicle,236557370,172414,White,Male,Yes,44,236729784,Aggressive,Aggressive,Aggressive,,,,,,Self-Initiated,,Yes,,2021,1,1
,II,Arrest-Other Agency,Tuesday,,,,CEW,CEW,CEW,CEW,CEW,CEW,CEW,Aerosol rest.,1200-1759,Escape/Pursuit,TRAFFIC PURSUIT *H,,,June,,,262169,East Precinct,22,Vehicle,236557370,172414,White,Male,Yes,44,236729784,Aggressive,Aggressive,Aggressive,Aggressive,Aggressive,Aggressive,Aggressive,Aggressive,Self-Initiated,,Yes,,2021,1,1
,II,Arrest-Other Agency,Tuesday,,,,Control Against Resistance,Strikes/kicks,Takedown (II and III),Resisted HC,,,,,1200-1759,Escape/Pursuit,TRAFFIC PURSUIT *H,,,June,,,644408,East Precinct,19,Vehicle,236557370,172414,White,Male,Yes,44,236729784,Aggressive,Aggressive,Active,Active,,,,,Self-Initiated,,Yes,,2021,1,1
,II,Arrest-Other Agency,Tuesday,,,,Less Lethal,Less Lethal,Control Against Resistance,CEW,CEW,CEW,CEW,CEW,1200-1759,Escape/Pursuit,TRAFFIC PURSUIT *H,,,June,,,672710,East Precinct,18,Vehicle,236557370,172414,White,Male,Yes,44,236729784,Aggressive,Aggressive,Aggressive,Aggressive,Aggressive,Aggressive,Aggressive,Aggressive,Self-Initiated,,Yes,,2021,1,1
,II,Arrest-Other Agency,Tuesday,,,,Resisted HC,,,,,,,,1200-1759,Escape/Pursuit,TRAFFIC PURSUIT *H,,,June,,,1090651,East Precinct,10,Vehicle,236557370,172414,White,Male,Yes,44,236729784,Aggressive,,,,,,,,Self-Initiated,,Yes,,2021,1,1
,II,Arrest-Other Agency,Tuesday,,,,Resisted HC,,,,,,,,1200-1759,Escape/Pursuit,TRAFFIC PURSUIT *H,,,June,,,749120,East Precinct,15,Vehicle,236557370,172414,White,Male,Yes,44,236729784,Aggressive,,,,,,,,Self-Initiated,,Yes,,2021,1,1
,II,Arrest-Other Agency,Tuesday,,,,Strikes/kicks,Strikes/kicks,Strikes/kicks,Strikes/kicks,,,,,1200-1759,Escape/Pursuit,TRAFFIC PURSUIT *H,,,June,,,179060,East Precinct,15,Vehicle,236557370,172414,White,Male,Yes,44,236729784,Aggressive,Aggressive,Aggressive,Aggressive,,,,,Self-Initiated,,Yes,,2021,1,1
,II,Arrest-Other Agency,Tuesday,,,,Strikes/kicks,Strikes/kicks,Strikes/kicks,Strikes/kicks,,,,,1200-1759,Escape/Pursuit,TRAFFIC PURSUIT *H,,,June,,,262169,East Precinct,22,Vehicle,236557370,172414,White,Male,Yes,44,236729784,Aggressive,Aggressive,Aggressive,Aggressive,,,,,Self-Initiated,,Yes,,2021,1,1
,II,Arrest-Other Agency,Tuesday,,,,Strikes/kicks,Strikes/kicks,Strikes/kicks,Strikes/kicks,Strikes/kicks,Strikes/kicks,Strikes/kicks,Strikes/kicks,1200-1759,Escape/Pursuit,TRAFFIC PURSUIT *H,,,June,,,644408,East Precinct,19,Vehicle,236557370,172414,White,Male,Yes,44,236729784,Aggressive,Aggressive,Aggressive,Aggressive,Aggressive,Aggressive,Aggressive,Aggressive,Self-Initiated,,Yes,,2021,1,1
,II,Arrest-Warrant,Tuesday,,,,CEW,,,,,,,,-,Traffic Stop,TRAFFIC STOP,,,June,,No weapon (unarmed),915731,North Precinct,5.728869863,,468527722,601616,Black,Male,No,41.353527397,468527722601616,Aggressive,,,,,,,,Self-Initiated,,,,2018,1,1
,II,Arrest-Warrant,Tuesday,,,,Control Against Resistance,,,,,,,,-,Traffic Stop,TRAFFIC STOP,,,June,,No weapon (unarmed),742219,North Precinct,16.602842466,,468527722,601616,Black,Male,No,41.353527397,468527722601616,Active,,,,,,,,Self-Initiated,,,,2018,1,1
,II,Arrest-Warrant,Tuesday,,,,Control Against Resistance,,,,,,,,-,Traffic Stop,TRAFFIC STOP,,,June,,No weapon (unarmed),882128,North Precinct,26.326130137,,468527722,601616,Black,Male,No,41.353527397,468527722601616,Active,,,,,,,,Self-Initiated,,,,2018,1,1
,II,Arrest-Warrant,Tuesday,,,,Control Against Resistance,CEW,CEW,,,,,,-,Traffic Stop,TRAFFIC STOP,,,June,,No weapon (unarmed),967940,North Precinct,10.101472603,,468527722,601616,Black,Male,No,41.353527397,468527722601616,Active,Aggressive,Aggressive,,,,,,Self-Initiated,,,,2018,1,1
,II,Arrest-Warrant,Tuesday,,,,K9,,,,,,,,0600-1159,Disturbance,DISTURBANCE - PRIORITY,,,May,,No weapon (unarmed),213461,North Precinct,5,,619556944,434685,White,Male,No,21,619991629,Active,,,,,,,,Dispatched,,,,2021,1,1
,II,Arrest-Warrant,Tuesday,,,,K9,,,,,,,,1800-2359,Area/Premise Check,AREA CHECK,,,July,,No weapon (unarmed),772720,TOD,16,,681538174,451793,White,Male,Yes,35,681989967,Active,,,,,,,,Self-Initiated,,,,2019,1,1
,II,Arrest-Warrant,Tuesday,,,,Resisted HC,,,,,,,,-,Traffic Stop,TRAFFIC STOP,,,June,,No weapon (unarmed),136661,North Precinct,7.068595890,,468527722,601616,Black,Male,No,41.353527397,468527722601616,Active,,,,,,,,Self-Initiated,,,,2018,1,1
,II,Cite and Release,Tuesday,,,,Resisted HC,,,,,,,,1200-1759,Area/Premise Check,CAMPING - GENERAL - POLICE USE ONLY,,,November,,No weapon (unarmed),384081,Central Precinct,3,,983539577,241637,Black,Female,Yes,43,983781214,Active,,,,,,,,Dispatched,,,,2019,1,1
,II,Cite and Release,Tuesday,,,,Resisted HC,Takedown (II and III),Resisted HC,,,,,,1200-1759,Area/Premise Check,CAMPING - GENERAL - POLICE USE ONLY,,,November,,No weapon (unarmed),501691,Central Precinct,7,,983539577,241637,Black,Female,Yes,43,983781214,Active,Active,Active,,,,,,Dispatched,,,,2019,1,1
,II,Cite and Release,Tuesday,,,,Resisted HC,Takedown (II and III),Resisted HC,,,,,,1200-1759,Area/Premise Check,CAMPING - GENERAL - POLICE USE ONLY,,,November,,No weapon (unarmed),809721,Central Precinct,7,,983539577,241637,Black,Female,Yes,43,983781214,Active,Active,Active,,,,,,Dispatched,,,,2019,1,1
,II,Release to Medical,Tuesday,,,,CEW,,,,,,,,1200-1759,Behavioral Health,ECIT,Knife / Edged Weapon / Stabbing Instrument,Yes,September,,,177561,SERT,10,,857548506,4139029,White,Female,Yes,31,861687535,Aggressive,,,,,,,,Dispatched,,Yes,,2020,1,1
,II,Release to Medical,Tuesday,,,,Control Against Resistance,,,,,,,,1200-1759,Behavioral Health,ECIT,,Yes,July,,,243370,East Precinct,11,,803538265,3523858,Native American,Female,No,13,807062123,Active,,,,,,,,Dispatched,,,Weapon Present or reported but not used or threatened use,2019,1,1
,II,Release to Medical,Tuesday,,,,Control Against Resistance,,,,,,,,1200-1759,Behavioral Health,ECIT,,Yes,July,,,805020,East Precinct,14,,803538265,3523858,Native American,Female,No,13,807062123,Active,,,,,,,,Dispatched,,,Weapon Present or reported but not used or threatened use,2019,1,1
,II,Release to Medical,Tuesday,,,,Control Against Resistance,,,,,,,,1200-1759,Behavioral Health,ECIT,Knife / Edged Weapon / Stabbing Instrument,Yes,May,,,571201,Other (please specify),0.936236682,,842527116,562477,White,Male,Yes,41.938976408,842527116562477,Active,,,,,,,,Dispatched,,Yes,,2018,1,1
,II,Release to Medical,Tuesday,,,,Control Against Resistance,,,,,,,,1800-2359,Behavioral Health,ECIT,Knife / Edged Weapon / Stabbing Instrument,Yes,November,,,668208,Central Precinct,26.116666667,,383529571,3990802,White,Male,No,31.163888889,3835295713990802,Active,,,,,,,,Dispatched,,Yes,,2018,1,1
,II,Release to Medical,Tuesday,,,,Control Against Resistance,CEW,,,,,,,1800-2359,Behavioral Health,ECIT,Knife / Edged Weapon / Stabbing Instrument,Yes,November,,,301668,Central Precinct,29.988888889,,383529571,3990802,White,Male,No,31.163888889,3835295713990802,Active,Aggressive,,,,,,,Dispatched,,Yes,,2018,1,1
,II,Release to Medical,Tuesday,,,,Control Against Resistance,Control Against Resistance,Control Against Resistance,,,,,,1800-2359,Missing Person,MISSING - PERSON ENDANGERED,,Yes,April,,No weapon (unarmed),831428,East Precinct,19.144592846,,816526776,1480271,Black,Male,No,12.525414764,8165267761480271,Active,Active,Active,,,,,,Dispatched,,,,2018,1,1
,II,Release to Medical,Tuesday,,,,Less Lethal,,,,,,,,1800-2359,Behavioral Health,ECIT,Knife / Edged Weapon / Stabbing Instrument,Yes,March,,,698511,East Precinct,11,,867556316,612485,Asian,Male,No,26,868168801,Aggressive,,,,,,,,Dispatched,,Yes,,2021,1,1
,II,Release to Medical,Tuesday,,,,Less Lethal,,,,,,,,1800-2359,Welfare Check,WELFARE CHECK - COLD,Knife / Edged Weapon / Stabbing Instrument,Yes,November,,,1053550,Central Precinct,18,,345539751,4091705,Black,Male,Yes,23,349631456,Aggressive,,,,,,,,Dispatched,Yes,,,2019,1,1
,II,Release to Medical,Tuesday,,,,Less Lethal,Resisted HC,,,,,,,1200-1759,Behavioral Health,ECIT,Knife / Edged Weapon / Stabbing Instrument,Yes,May,,,554100,Central Precinct,12.270450913,,842527116,562477,White,Male,Yes,41.938944064,842527116562477,Aggressive,Active,,,,,,,Dispatched,,Yes,,2018,1,1
,II,Release to Medical,Tuesday,,,,PFA,Control Against Resistance,,,,,,,1200-1759,Behavioral Health,ECIT,Knife / Edged Weapon / Stabbing Instrument,Yes,May,,,976240,Central Precinct,11.196478311,,842527116,562477,White,Male,Yes,41.938944064,842527116562477,Aggressive,Active,,,,,,,Dispatched,,Yes,,2018,1,1
,II,Release to Medical,Tuesday,,,,PFA,Resisted HC,,,,,,,1200-1759,Behavioral Health,ECIT,Knife / Edged Weapon / Stabbing Instrument,Yes,May,,,572201,Other (please specify),0.936204338,,842527116,562477,White,Male,Yes,41.938944064,842527116562477,Aggressive,Active,,,,,,,Dispatched,,Yes,,2018,1,1
